FIRMWARE REVISION HISTORY,,,
"ZW4201 Jasco 14311 Plug-in Outdoor Smart Switch, 500S",,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.2,6.51.06,1. Original Release Firmware,1725
