FIRMWARE REVISION HISTORY,,,
ZW4003 Jasco 14319 In-Wall Smart Toggle Switch,,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.2,6.51.06,1. Original Release Firmware,1648
,,OTA file will not be released for this version due to lack of support for Adesto flash in newer hardware,
5.21,6.51.10,1. Updated the devkit from 6.51.06 to 6.51.10,1749
5.22,6.51.10,1. Added parameter 19 for alternate exclusion,1902
