FIRMWARE REVISION HISTORY,,,
ZW3004 Honeywell 39357 In-Wall Smart Toggle Dimmer,,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.25,6.51.08,1. Original Release Firmware,1805
5.26,6.51.08,1. Reworked version data for consistency,1916
