FIRMWARE REVISION HISTORY,,,
"ZW3011 Jasco 46565 In-Wall Smart Toggle Dimmer, Quick-fit Simple Wire, 500S",,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.53,6.81.03,1. Original Release Firmware,1938
5.54,6.81.03,1. Adjusted low-end dimming threshold to match Model 14294,2012
