FIRMWARE REVISION HISTORY,,,
ZW1002 Enbrighten GE 14297 In-Wall Smart Outlet (Lt. Alm),,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.26,6.51.09,1. Original Release Firmware,1952
5.51,6.82.00,1. S2 implementation,2031
,,2. Central Scene implementation,
,,3. Remove All ON/OFF,
,,4. Modify parameter 3,
