FIRMWARE REVISION HISTORY,,,
"ZW3006 Enbrighten-GE 14299 In-Wall 1000W Smart Paddle Dimmer, 500S",,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.22,6.51.08,1. Original Release Firmware,1714
5.25,6.51.08,1. Fixed AGI issue,1802
,,2. Fixed Scene actuator and scene activation,
5.26,6.51.08,1. Added parameters 16 and 20,1845
,,2. Added parameter 19 for alternate exclusion,
